"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x0016958b8998d09c0cc8f0c19f5c29bfc286ea96","152202399.192","No"
"0x005a2ac49114d44d6f5cda1d862c4bec5f21c3fd","8557.94872610635","No"
"0x006fa3fdb16d99851c4760e62c44fe9d22713374","2.182585921E-09","No"
"0x00b0a44fe829b123de184bd3ddd508b6459b8eed","31310.0910314181","No"
"0x0127f7553e3d91bba38626490773a49c4b4c9e7c","1796.89410112826","No"
"0x0139c13f6f44e8e3fc768229a6ae3c5ee690c49a","20379.554273014","No"
"0x016b0d52a79eac8b85d494ecdf63549f4d66a2ed","1768385.84608","No"
"0x0178217e241aa00787461cf044c69e8292c3863e","500","No"
"0x017c41a469ca172537afa701ad413967da97674b","150535.125","No"
"0x01eef93c7d306ee145c0d7b53d0b515094e12957","1617.3557051822","No"
"0x01fa8101e3e6e8eaf48384eddac250d4711b8400","5.591207202E-09","No"
"0x01fa8c65a0a920f6ab249c1b30fc12f363c302cf","8316.8701832523","No"
"0x0224fc9e8171edec42c88645dacc82f50f9a72d7","4660","No"
"0x025b96fac92837546a1cb77560c8627815a85d14","276165.958562675","No"
"0x0261d48a8289f0cd2a576200344d904284c1425f","12967.573080054","No"
"0x026f549694ccbdac252436b611b75c463ea497ec","239329.228867","No"
"0x028216b0b5ab1a1548053eb9e170eb69b050d78e","15142.2158064752","No"
"0x02a82e159076d01cb657d0b2a66b699e5a7d5ba9","5000.00102393437","No"
"0x02defc874c7f3cb1050efd79b882e76748f9e91a","3154.96599216404","No"
"0x032e7be65c1bc36780f1e3d506ef7a01a07793cc","14320.5839109131","No"
"0x0337349cb9fa35380428b3783e61698728c8398b","15783.7447302354","No"
"0x038a3cbf2e80392bb9b7ad7d3b6de903d86f60e0","386761.304656","No"
"0x03989662033eb16ea5395bcc570378d0cf82b9ee","16909.332","No"
"0x04081e17b7832065582dbffa63a6af59fd37b307","13654","No"
"0x0451cc1f1c830f44a1e39e5a66ee871902ff7dad","324.312413800621","No"
"0x045d7681ef47ca56db5157812f30f2b43e6ee78e","8.545941917E-09","No"
"0x045eef3a61792bfcf1deab989ed00bf2b2ae8ed0","5286","No"
"0x04611773bcd8a6748b63e963a2dfd8c3180bc9f2","105434.936","No"
"0x046db79e03ea83080256e588fdf91e37aacde79c","3060.92113277605","No"
"0x049b8e0e5315294ef95698e5ef657602ada4695c","2416.669","No"
"0x04b4d7230c2f1ca0d848cfe3cf2358d08bc20833","6938.892","No"
"0x04eb0cff5d2e59727613b2d681527a193501d7dc","52148.7877030428","No"
"0x0539a86683740eff6c15982d177e2d6e3c341ab6","228799.416436","No"
"0x05681ff6b2a48c749e9036f7a291c6a2241e5a27","249087.15","No"
"0x0612be9bca9593121246c73dc6198ff2aca58342","5313.77658275738","No"
"0x064802459a7e8d5d15ed2f7d50cba79e056e777c","199863.342","No"
"0x0675cc75b0e54f4c86a012cc204bdc05ce27caa6","94059.477093075","No"
"0x06bc929905dc61452c37dda34f68397ddf01bbd3","11495.2799313809","No"
"0x06bf7280c18855fc8d9817bc3e2c65afcba3e004","8450.88820635356","No"
"0x06d135bdf56b40ba3d0859997b8132f7943bb3bc","18376","No"
